id,incident_type,severity,priority,description,latitude,longitude
39,industrial_accident,high,2,"Crane collapse at major construction site, operator injured and high-voltage power lines snapped.",13.095964,77.582256
40,industrial_accident,high,2,"Corrosive acid tank valve leak in industrial zone, perimeter cordoned off.",12.901064,77.518588
41,industrial_accident,high,2,"Conveyor belt failure in steel mill causing molten metal spill, three workers suffered burns.",12.99001,77.523422
42,industrial_accident,high,2,"Worker fell from 30ft scaffolding onto metal beams, severe trauma, rescue team needed.",12.996976,77.713947
43,industrial_accident,medium,3,"Machine malfunction at textile plant, one worker hand injury, first aid dispatched.",12.94142,77.510396
44,industrial_accident,medium,3,"Small oil spill in warehouse loading dock, slip hazard, containment kits deployed.",13.120861,77.597458
45,industrial_accident,medium,3,Electrical spark panel tripping repeatedly with burning plastic odor in factory unit B.,12.848873,77.458735
46,industrial_accident,medium,3,"Forklift collided with storage shelving, non-hazardous goods spilled across aisle.",12.854495,77.632834
47,industrial_accident,low,4,Precautionary fire alarm triggered in server room due to dust buildup.,13.059224,77.571248
48,industrial_accident,low,4,"Minor coolant drip from CNC machine, maintenance team handling.",12.840658,77.559086
49,industrial_accident,low,4,Safety inspection protocol test run at logistics depot.,13.120436,77.603334
50,road_accident,critical,1,"Mass casualty collision: intercity bus overturned on highway ravine, over 30 passengers severely injured and trapped.",13.112924,77.702834
51,road_accident,critical,1,"Multi-vehicle pileup involving oil tanker and 8 passenger cars, tanker leaking flammable fuel with fire hazard.",12.825044,77.660817
52,road_accident,critical,1,"Head-on collision between passenger bus and truck, multiple fatalities and people pinned inside wreckage.",13.026113,77.605691
53,road_accident,high,2,"High-speed SUV rollover crash on expressway, 3 passengers unconscious and trapped inside vehicle.",12.901648,77.636889
54,road_accident,high,2,"School van collision with pickup truck, 4 children injured, immediate medical dispatch requested.",12.855066,77.57503
55,road_accident,high,2,"Pedestrian struck by speeding vehicle at pedestrian crossing, severe head injuries.",12.957717,77.730745
56,road_accident,high,2,"Motorcyclist struck by delivery truck, lying unresponsive on arterial ring road.",13.084356,77.523617
57,road_accident,medium,3,"Two-car collision at intersection, airbags deployed, drivers have minor cuts and shock.",12.971776,77.498196
58,road_accident,medium,3,"Fender bender between taxi and city bus blocking two lanes of traffic, no serious injuries.",13.095388,77.705756
59,road_accident,medium,3,"Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion.",12.911133,77.636285
60,road_accident,medium,3,"Delivery van rear-ended stationary car at red light, minor bumper damage and neck pain reported.",13.004291,77.490452
61,road_accident,low,4,"Minor scratch collision in shopping mall parking lot, drivers arguing over insurance.",13.050353,77.606414
62,road_accident,low,4,"Stationary vehicle tire puncture on highway shoulder, hazard lights on.",13.055188,77.603706
63,road_accident,low,4,"Rear mirror collision in slow-moving traffic jam, no injuries.",12.821772,77.541847
64,medical,critical,1,"Cardiac arrest in public transit station, 55-year-old male unresponsive, bystander CPR in progress.",12.827443,77.72333
65,medical,critical,1,"Severe anaphylactic shock at restaurant, patient experiencing respiratory failure and swelling.",13.085217,77.6941
66,medical,critical,1,"Child drowning incident in municipal swimming pool, unconscious, not breathing, AED required immediately.",12.913854,77.461978
67,medical,critical,1,Multiple people collapsed at outdoor concert due to suspected heat stroke and dehydration crisis.,13.085003,77.728685
68,medical,high,2,"Elderly woman showing stroke symptoms: facial droop, slurred speech, acute weakness on right side.",12.847296,77.590397
69,medical,high,2,"Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly.",12.842364,77.672781
70,medical,high,2,"Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture.",13.05135,77.483117
71,medical,high,2,"Diabetic emergency, patient unresponsive with extremely low blood sugar reading.",12.964185,77.609541
72,medical,medium,3,"Adult with high fever, vomiting, and suspected acute dehydration requesting ambulance transport.",12.901117,77.70633
73,medical,medium,3,"Deep kitchen laceration on hand bleeding steadily, direct pressure applied, stitches required.",12.948541,77.508139
74,medical,medium,3,"Sprained ankle and contusions after slipping on wet steps, patient unable to bear weight.",12.983389,77.663579
75,medical,medium,3,"Moderate allergic reaction with hives and facial itching after bee sting, breathing normal.",12.881945,77.538115
76,medical,low,4,"Caller feeling mild dizziness after missing lunch, asking for non-emergency medical advice.",13.120145,77.639563
77,medical,low,4,Routine non-emergency patient transport requested for scheduled dialysis appointment.,12.95303,77.599873
78,medical,low,4,"Minor nosebleed that has subsided, caller asking for precautionary check.",12.857901,77.512009
79,other,high,2,Suspicious unattended duffel bag with exposed wiring near subway entrance ticket counter.,12.923026,77.621093
80,other,high,2,"Active gas smell in dense residential neighborhood, multiple residents reporting nausea.",12.890634,77.510665
81,other,high,2,"Large ancient oak tree fallen across busy roadway, crushing power lines and parked vehicle.",12.842898,77.633931
82,other,medium,3,Water main pipe burst flooding intersection and disrupting local drinking water supply.,12.890283,77.716226
83,other,medium,3,Traffic signal outage at four-way intersection causing chaotic vehicular gridlock.,13.079491,77.465857
84,other,medium,3,"Large stray animal trapped in drainage culvert, animal rescue assistance requested.",12.893001,77.645293
85,other,low,4,Noise complaint regarding loud late-night construction work.,12.885871,77.484294
86,other,low,4,Streetlight pole flickering in alleyway behind library.,13.102254,77.615913
87,other,low,4,Lost personal belongings reported near central bus terminal.,12.963401,77.679986
88,road_accident,high,2,"Caller reports: School van collision with pickup truck, 4 children injured, immediate medical dispatch requested. Please send backup.",12.810372,77.56702
89,road_accident,high,2,"Motorcyclist struck by delivery truck, lying unresponsive on arterial ring road. Emergency personnel dispatched.",13.117135,77.416268
90,other,high,2,"Caller reports: Large ancient oak tree fallen across busy roadway, crushing power lines and parked vehicle. Please send backup.",12.795845,77.685885
91,fire,low,4,"Citizen emergency report: Unattended small bonfire in public park, no immediate danger. Situation escalating.",12.847684,77.574045
92,road_accident,high,2,"Field team update: School van collision with pickup truck, 4 children injured, immediate medical dispatch requested. Responders on scene request assistance.",12.956651,77.744394
93,fire,medium,3,Small smoke coming from air conditioning unit on second floor office.,12.810763,77.655458
94,medical,high,2,"Caller reports: Elderly woman showing stroke symptoms: facial droop, slurred speech, acute weakness on right side. Please send backup.",13.142147,77.734078
95,flood,high,2,"Main drainage choked, waist-deep water flooding commercial district streets. Emergency personnel dispatched.",12.964143,77.74046
96,fire,high,2,Wildfire spreading rapidly towards residential suburb due to high winds. Urgent containment needed. Perimeter needs to be secured.,12.772462,77.550769
97,road_accident,medium,3,"Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion. Perimeter needs to be secured.",13.050237,77.686802
98,medical,high,2,"Sensor alert: Diabetic emergency, patient unresponsive with extremely low blood sugar reading. Automatic threshold exceeded.",12.847559,77.48168
99,fire,high,2,"Electrical substation transformer caught fire, loud buzzing and thick smoke in residential area.",12.795983,77.520042
100,fire,high,2,"Electrical substation transformer caught fire, loud buzzing and thick smoke in residential area. Emergency personnel dispatched.",12.97274,77.735688
101,flood,high,2,"Heavy rain causing storm canal to overflow, water entering ground floor houses in Sector 4.",12.803645,77.46893
102,medical,low,4,"Citizen emergency report: Caller feeling mild dizziness after missing lunch, asking for non-emergency medical advice. Situation escalating.",12.93311,77.771238
103,medical,medium,3,"Urgent: Deep kitchen laceration on hand bleeding steadily, direct pressure applied, stitches required. Dispatch immediately.",13.019353,77.56229
104,medical,medium,3,"Field team update: Sprained ankle and contusions after slipping on wet steps, patient unable to bear weight. Responders on scene request assistance.",12.853304,77.681077
105,flood,low,4,"Minor gutter seepage in lane 5, no property damage. Perimeter needs to be secured.",12.823951,77.6528
106,road_accident,medium,3,"Caller reports: Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion. Please send backup.",12.775326,77.643064
107,medical,medium,3,"Caller reports: Adult with high fever, vomiting, and suspected acute dehydration requesting ambulance transport. Please send backup.",12.986654,77.596954
108,flood,critical,1,"Caller reports: Catastrophic urban flash flooding, basement parking submerged with people trapped inside elevator. Please send backup.",13.123308,77.542411
109,flood,high,2,"Main drainage choked, waist-deep water flooding commercial district streets.",13.053016,77.639271
110,other,high,2,"Urgent: Large ancient oak tree fallen across busy roadway, crushing power lines and parked vehicle. Dispatch immediately.",13.038745,77.616441
111,other,medium,3,Sensor alert: Water main pipe burst flooding intersection and disrupting local drinking water supply. Automatic threshold exceeded.,12.877386,77.750485
112,medical,high,2,"Field team update: Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly. Responders on scene request assistance.",12.884303,77.478852
113,industrial_accident,medium,3,"Field team update: Small oil spill in warehouse loading dock, slip hazard, containment kits deployed. Responders on scene request assistance.",12.973764,77.495049
114,fire,high,2,"Apartment fire on third floor, flames visible from balcony. Residents evacuating, 2 people suffering from smoke inhalation. Perimeter needs to be secured.",13.103339,77.412235
115,industrial_accident,medium,3,"Field team update: Small oil spill in warehouse loading dock, slip hazard, containment kits deployed. Responders on scene request assistance.",12.836233,77.571334
116,other,low,4,Streetlight pole flickering in alleyway behind library.,12.775468,77.424698
117,other,low,4,Noise complaint regarding loud late-night construction work.,12.786011,77.542286
118,medical,high,2,"Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly. Perimeter needs to be secured.",12.822578,77.517903
119,fire,high,2,"Citizen emergency report: Restaurant kitchen fire spreading to roof ventilation. Staff evacuated, fire brigade requested urgently. Situation escalating.",13.044427,77.661373
120,industrial_accident,low,4,Safety inspection protocol test run at logistics depot. Perimeter needs to be secured.,13.161135,77.694391
121,flood,low,4,"Sensor alert: Puddle accumulation on residential street curb, slow drainage. Automatic threshold exceeded.",13.124166,77.404515
122,industrial_accident,medium,3,"Citizen emergency report: Forklift collided with storage shelving, non-hazardous goods spilled across aisle. Situation escalating.",12.878322,77.70955
123,fire,low,4,Urgent: Smoldering campfire remains found in picnic clearing. Dispatch immediately.,13.115037,77.483573
124,road_accident,medium,3,"Field team update: Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion. Responders on scene request assistance.",13.099815,77.743129
125,flood,low,4,"Citizen emergency report: Puddle accumulation on residential street curb, slow drainage. Situation escalating.",12.930986,77.506041
126,fire,medium,3,"911 Call log: Car engine caught fire on roadside shoulder, driver is out safely, no injuries. Caller very distressed.",13.028193,77.554471
127,medical,high,2,"Urgent: Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture. Dispatch immediately.",12.817737,77.78276
128,flood,high,2,"Urgent: River water level rising above danger mark, low-lying slums being evacuated. Dispatch immediately.",12.814961,77.568426
129,industrial_accident,medium,3,"Forklift collided with storage shelving, non-hazardous goods spilled across aisle.",12.817858,77.754402
130,flood,medium,3,"Urgent: Basement of apartment complex experiencing water ingress, pumps required. Dispatch immediately.",13.055114,77.395277
131,medical,high,2,"911 Call log: Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly. Caller very distressed.",12.944119,77.77415
132,industrial_accident,medium,3,Caller reports: Electrical spark panel tripping repeatedly with burning plastic odor in factory unit B. Please send backup.,13.059502,77.514729
133,industrial_accident,high,2,"911 Call log: Worker fell from 30ft scaffolding onto metal beams, severe trauma, rescue team needed. Caller very distressed.",12.93256,77.512862
134,flood,critical,1,"Reservoir dam overflow causing rapid surge, bridge washed away, several vehicles swept away with passengers. Perimeter needs to be secured.",13.037572,77.546258
135,flood,high,2,"River water level rising above danger mark, low-lying slums being evacuated. Perimeter needs to be secured.",12.990775,77.394762
136,industrial_accident,high,2,"Corrosive acid tank valve leak in industrial zone, perimeter cordoned off. Perimeter needs to be secured.",13.085904,77.637265
137,industrial_accident,medium,3,"Forklift collided with storage shelving, non-hazardous goods spilled across aisle. Emergency personnel dispatched.",12.948464,77.480081
138,road_accident,low,4,"Sensor alert: Rear mirror collision in slow-moving traffic jam, no injuries. Automatic threshold exceeded.",13.03514,77.508115
139,other,medium,3,"911 Call log: Large stray animal trapped in drainage culvert, animal rescue assistance requested. Caller very distressed.",12.808955,77.7754
140,flood,low,4,Field team update: Surface water pooling near park entrance following light drizzle. Responders on scene request assistance.,12.861456,77.474252
141,fire,critical,1,Citizen emergency report: Massive explosion at chemical factory! Multiple workers trapped inside and flames spreading to adjacent units. Situation escalating.,13.165174,77.63911
142,fire,medium,3,Small smoke coming from air conditioning unit on second floor office. Perimeter needs to be secured.,13.126055,77.624868
143,other,low,4,Lost personal belongings reported near central bus terminal. Perimeter needs to be secured.,12.969351,77.492194
144,other,high,2,"Urgent: Large ancient oak tree fallen across busy roadway, crushing power lines and parked vehicle. Dispatch immediately.",13.128664,77.738776
145,fire,low,4,Citizen emergency report: Smoldering campfire remains found in picnic clearing. Situation escalating.,12.841955,77.777786
146,medical,critical,1,Urgent: Multiple people collapsed at outdoor concert due to suspected heat stroke and dehydration crisis. Dispatch immediately.,12.994562,77.761588
147,fire,low,4,Sensor alert: Smoldering campfire remains found in picnic clearing. Automatic threshold exceeded.,13.092167,77.661631
148,medical,high,2,"Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture. Emergency personnel dispatched.",13.016661,77.68231
149,medical,critical,1,Multiple people collapsed at outdoor concert due to suspected heat stroke and dehydration crisis.,12.949965,77.458263
150,road_accident,low,4,"Field team update: Stationary vehicle tire puncture on highway shoulder, hazard lights on. Responders on scene request assistance.",13.072311,77.730545
151,industrial_accident,critical,1,"Citizen emergency report: Radiation warning alarm triggered in testing lab, immediate hazmat response required. Situation escalating.",12.881439,77.425593
152,industrial_accident,high,2,"Field team update: Corrosive acid tank valve leak in industrial zone, perimeter cordoned off. Responders on scene request assistance.",12.905939,77.751811
153,fire,medium,3,"Sensor alert: Dry grass fire in vacant plot near railway track, smoke blowing towards road. Automatic threshold exceeded.",12.864105,77.67218
154,other,low,4,Caller reports: Noise complaint regarding loud late-night construction work. Please send backup.,12.937547,77.526953
155,road_accident,medium,3,"Urgent: Delivery van rear-ended stationary car at red light, minor bumper damage and neck pain reported. Dispatch immediately.",12.854334,77.562657
156,medical,medium,3,"Adult with high fever, vomiting, and suspected acute dehydration requesting ambulance transport. Perimeter needs to be secured.",12.962392,77.771697
157,industrial_accident,high,2,"Worker fell from 30ft scaffolding onto metal beams, severe trauma, rescue team needed. Perimeter needs to be secured.",12.986888,77.688454
158,medical,low,4,"Caller feeling mild dizziness after missing lunch, asking for non-emergency medical advice. Emergency personnel dispatched.",12.859369,77.568934
159,fire,critical,1,911 Call log: Industrial gas pipeline rupture with huge fireball and multiple injured workers trapped in plant area. Caller very distressed.,13.039149,77.713857
160,flood,high,2,"Sensor alert: Main drainage choked, waist-deep water flooding commercial district streets. Automatic threshold exceeded.",13.163889,77.608249
161,road_accident,critical,1,"Urgent: Head-on collision between passenger bus and truck, multiple fatalities and people pinned inside wreckage. Dispatch immediately.",12.805179,77.566045
162,road_accident,medium,3,"Urgent: Fender bender between taxi and city bus blocking two lanes of traffic, no serious injuries. Dispatch immediately.",12.875663,77.525541
163,road_accident,medium,3,"911 Call log: Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion. Caller very distressed.",13.076092,77.54625
164,road_accident,high,2,"Caller reports: Pedestrian struck by speeding vehicle at pedestrian crossing, severe head injuries. Please send backup.",12.959723,77.69421
165,fire,high,2,"Citizen emergency report: Restaurant kitchen fire spreading to roof ventilation. Staff evacuated, fire brigade requested urgently. Situation escalating.",13.031658,77.707093
166,other,high,2,Urgent: Suspicious unattended duffel bag with exposed wiring near subway entrance ticket counter. Dispatch immediately.,13.151445,77.474344
167,fire,critical,1,"Sensor alert: Major warehouse fire with toxic fumes released, nearby school needing immediate evacuation. Automatic threshold exceeded.",12.867018,77.584024
168,fire,low,4,"Unattended small bonfire in public park, no immediate danger. Emergency personnel dispatched.",13.051386,77.701359
169,flood,high,2,"Sensor alert: Heavy rain causing storm canal to overflow, water entering ground floor houses in Sector 4. Automatic threshold exceeded.",13.157488,77.437839
170,fire,critical,1,"Severe fire outbreak in downtown commercial complex, heavy black smoke, structural collapse imminent. Perimeter needs to be secured.",12.930262,77.680606
171,fire,medium,3,"Citizen emergency report: Rubbish pile burning near vacant construction site, smoke bothering nearby residents. Situation escalating.",12.812361,77.703592
172,other,medium,3,"Caller reports: Large stray animal trapped in drainage culvert, animal rescue assistance requested. Please send backup.",13.090091,77.620973
173,fire,high,2,"Restaurant kitchen fire spreading to roof ventilation. Staff evacuated, fire brigade requested urgently.",12.942951,77.542828
174,medical,critical,1,"Urgent: Child drowning incident in municipal swimming pool, unconscious, not breathing, AED required immediately. Dispatch immediately.",13.11143,77.723532
175,fire,low,4,911 Call log: Smoldering campfire remains found in picnic clearing. Caller very distressed.,13.025834,77.726083
176,other,low,4,Noise complaint regarding loud late-night construction work. Perimeter needs to be secured.,12.842055,77.603299
177,other,high,2,"Active gas smell in dense residential neighborhood, multiple residents reporting nausea.",13.081457,77.58055
178,medical,medium,3,"911 Call log: Sprained ankle and contusions after slipping on wet steps, patient unable to bear weight. Caller very distressed.",13.112285,77.726892
179,fire,medium,3,"Car engine caught fire on roadside shoulder, driver is out safely, no injuries. Emergency personnel dispatched.",12.869145,77.580483
180,medical,low,4,"Minor nosebleed that has subsided, caller asking for precautionary check. Perimeter needs to be secured.",12.906159,77.592323
181,industrial_accident,medium,3,"Small oil spill in warehouse loading dock, slip hazard, containment kits deployed. Emergency personnel dispatched.",12.856448,77.713733
182,industrial_accident,medium,3,Field team update: Electrical spark panel tripping repeatedly with burning plastic odor in factory unit B. Responders on scene request assistance.,12.993916,77.601251
183,flood,medium,3,"Citizen emergency report: Waterlogging on main avenue causing 2-hour traffic gridlock, water reaching knee height. Situation escalating.",13.05963,77.590031
184,flood,low,4,Surface water pooling near park entrance following light drizzle. Emergency personnel dispatched.,13.029961,77.590929
185,fire,critical,1,Field team update: Massive explosion at chemical factory! Multiple workers trapped inside and flames spreading to adjacent units. Responders on scene request assistance.,12.860239,77.671315
186,industrial_accident,high,2,"Conveyor belt failure in steel mill causing molten metal spill, three workers suffered burns. Emergency personnel dispatched.",12.992989,77.532103
187,medical,high,2,"911 Call log: Fall from height in residence, 40-year-old with suspected spinal trauma and compound fracture. Caller very distressed.",13.052742,77.502967
188,industrial_accident,critical,1,"Caller reports: Boiler blast at manufacturing unit, roof collapsed with multiple workers buried under debris. Please send backup.",13.060114,77.520819
189,medical,high,2,"Citizen emergency report: Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly. Situation escalating.",12.858154,77.588279
190,medical,medium,3,"Caller reports: Sprained ankle and contusions after slipping on wet steps, patient unable to bear weight. Please send backup.",13.104651,77.513099
191,industrial_accident,low,4,Field team update: Precautionary fire alarm triggered in server room due to dust buildup. Responders on scene request assistance.,12.777259,77.608254
192,industrial_accident,critical,1,"Urgent: Ammonia gas leak detected at cold storage facility, 15 workers unconscious and mass casualty alert sounded. Dispatch immediately.",12.992944,77.673567
193,flood,critical,1,"Caller reports: Severe storm surge breaking seawall, water rushing into coastal hospital ground floor. Please send backup.",13.120688,77.624226
194,road_accident,low,4,"Stationary vehicle tire puncture on highway shoulder, hazard lights on. Emergency personnel dispatched.",12.907882,77.780799
195,industrial_accident,critical,1,"Caller reports: Radiation warning alarm triggered in testing lab, immediate hazmat response required. Please send backup.",13.100446,77.554883
196,fire,medium,3,"Urgent: Rubbish pile burning near vacant construction site, smoke bothering nearby residents. Dispatch immediately.",12.832291,77.719057
197,industrial_accident,high,2,"Citizen emergency report: Crane collapse at major construction site, operator injured and high-voltage power lines snapped. Situation escalating.",12.818981,77.700377
198,medical,low,4,"Citizen emergency report: Minor nosebleed that has subsided, caller asking for precautionary check. Situation escalating.",13.081877,77.546751
199,road_accident,medium,3,"Auto-rickshaw tipped on sharp turn, passenger has minor arm abrasion. Perimeter needs to be secured.",12.893752,77.643011
200,medical,low,4,"Caller reports: Minor nosebleed that has subsided, caller asking for precautionary check. Please send backup.",13.150636,77.477715
201,flood,medium,3,"Caller reports: Basement of apartment complex experiencing water ingress, pumps required. Please send backup.",12.834423,77.464125
202,fire,medium,3,"Urgent: Dry grass fire in vacant plot near railway track, smoke blowing towards road. Dispatch immediately.",12.935007,77.670348
203,road_accident,low,4,"Urgent: Stationary vehicle tire puncture on highway shoulder, hazard lights on. Dispatch immediately.",12.86419,77.677382
204,other,low,4,Caller reports: Streetlight pole flickering in alleyway behind library. Please send backup.,13.046554,77.764164
205,other,high,2,"Citizen emergency report: Large ancient oak tree fallen across busy roadway, crushing power lines and parked vehicle. Situation escalating.",12.941656,77.612425
206,other,high,2,Field team update: Suspicious unattended duffel bag with exposed wiring near subway entrance ticket counter. Responders on scene request assistance.,13.102252,77.423164
207,flood,high,2,"Field team update: River water level rising above danger mark, low-lying slums being evacuated. Responders on scene request assistance.",12.947261,77.582079
208,industrial_accident,high,2,"Field team update: Worker fell from 30ft scaffolding onto metal beams, severe trauma, rescue team needed. Responders on scene request assistance.",12.971789,77.592118
209,fire,medium,3,"Urgent: Rubbish pile burning near vacant construction site, smoke bothering nearby residents. Dispatch immediately.",13.127369,77.688414
210,medical,low,4,Urgent: Routine non-emergency patient transport requested for scheduled dialysis appointment. Dispatch immediately.,12.808131,77.779364
211,medical,medium,3,"Field team update: Adult with high fever, vomiting, and suspected acute dehydration requesting ambulance transport. Responders on scene request assistance.",13.002099,77.699844
212,flood,high,2,"Main drainage choked, waist-deep water flooding commercial district streets.",13.032204,77.761029
213,flood,high,2,"Main drainage choked, waist-deep water flooding commercial district streets. Emergency personnel dispatched.",13.159222,77.582604
214,road_accident,high,2,"911 Call log: Pedestrian struck by speeding vehicle at pedestrian crossing, severe head injuries. Caller very distressed.",13.039653,77.737693
215,industrial_accident,medium,3,"Forklift collided with storage shelving, non-hazardous goods spilled across aisle. Emergency personnel dispatched.",12.886887,77.772677
216,medical,high,2,"Elderly woman showing stroke symptoms: facial droop, slurred speech, acute weakness on right side. Emergency personnel dispatched.",12.806824,77.49556
217,fire,low,4,Smoldering campfire remains found in picnic clearing.,13.101571,77.39506
218,medical,high,2,"Diabetic emergency, patient unresponsive with extremely low blood sugar reading. Perimeter needs to be secured.",12.793282,77.601976
219,medical,low,4,Routine non-emergency patient transport requested for scheduled dialysis appointment. Emergency personnel dispatched.,13.075596,77.476023
220,medical,high,2,"Field team update: Severe asthma attack in residential home, inhaler ineffective, oxygen saturation dropping rapidly. Responders on scene request assistance.",12.946846,77.6739
221,fire,low,4,Citizen emergency report: Controlled agricultural burn producing slight smoke in rural boundary. Situation escalating.,13.055513,77.5189
222,fire,critical,1,"Major warehouse fire with toxic fumes released, nearby school needing immediate evacuation. Perimeter needs to be secured.",12.808884,77.791503
223,fire,low,4,Caller reports: Smoldering campfire remains found in picnic clearing. Please send backup.,13.030684,77.456188
224,other,low,4,Streetlight pole flickering in alleyway behind library.,13.053765,77.560796
225,road_accident,low,4,"Citizen emergency report: Stationary vehicle tire puncture on highway shoulder, hazard lights on. Situation escalating.",12.954315,77.452457
226,flood,medium,3,Caller reports: Storm drain overflowing onto pedestrian sidewalk and parking lot. Please send backup.,12.882099,77.710602
227,road_accident,high,2,"Pedestrian struck by speeding vehicle at pedestrian crossing, severe head injuries.",12.878469,77.395626
228,industrial_accident,high,2,"Sensor alert: Worker fell from 30ft scaffolding onto metal beams, severe trauma, rescue team needed. Automatic threshold exceeded.",12.950219,77.588337
229,industrial_accident,medium,3,"Forklift collided with storage shelving, non-hazardous goods spilled across aisle. Emergency personnel dispatched.",13.144741,77.742441
230,other,low,4,Noise complaint regarding loud late-night construction work. Perimeter needs to be secured.,12.865025,77.704818
231,fire,high,2,"Restaurant kitchen fire spreading to roof ventilation. Staff evacuated, fire brigade requested urgently. Emergency personnel dispatched.",13.053691,77.719164
232,road_accident,critical,1,"Sensor alert: Head-on collision between passenger bus and truck, multiple fatalities and people pinned inside wreckage. Automatic threshold exceeded.",12.969731,77.409408
233,medical,critical,1,"Caller reports: Child drowning incident in municipal swimming pool, unconscious, not breathing, AED required immediately. Please send backup.",13.121276,77.570722
